0,1,2,3,4,5,6
16,301.0,322.3,69,D,11.8,9
17,294.2,321.3,57,D,7.8,10
19,296.8,321.1,60,D,11.2,2
22,304.7,331.0,84,D,12.1,5
24,298.6,319.8,68,D,11.4,2
25,295.4,317.4,57,D,7.5,2
26,297.4,319.1,71,D,12.1,11
29,298.1,325.9,79,D,23.5,10
30,289.1,318.4,60,D,14.4,5
31,283.3,309.2,65,N,8.9,2
32,296.7,328.1,71,D,30.0,7
33,303.6,332.8,0,D,39.0,4
36,295.2,314.7,86,N,11.2,4
37,303.2,332.9,74,D,40.0,4
38,294.7,319.5,52,D,7.0,3
39,293.5,317.9,57,D,7.1,3
42,294.4,309.2,65,N,9.9,12
43,296.8,312.5,79,N,8.8,3
44,300.3,312.0,52,D,14.5,1
45,295.4,306.2,67,N,14.6,3
46,293.5,320.1,70,D,9.4,3
47,305.9,326.4,79,D,17.6,2
48,299.5,330.1,63,D,20.9,2
50,310.5,332.2,84,D,31.6,2
51,293.7,311.8,76,N,12.0,12
52,308.5,331.5,79,D,8.4,9
55,303.7,317.3,62,D,7.0,2
56,290.1,310.1,26,D,5.4,12
57,302.5,335.2,87,D,65.5,2
59,298.8,315.9,32,D,6.4,2
60,295.8,306.4,45,N,10.9,2
61,283.6,310.1,14,D,14.4,8
63,300.9,321.6,58,D,19.7,4
64,280.2,314.1,52,D,11.8,6
65,295.0,317.5,0,D,22.2,6
66,296.0,316.0,15,D,7.1,2
67,305.9,318.2,47,D,7.1,1
68,293.6,306.2,66,N,5.6,1
69,295.3,306.4,66,N,5.7,1
70,310.6,330.0,83,D,9.5,8
71,310.2,330.3,78,D,7.9,5
72,307.8,320.4,42,D,8.1,2
73,305.8,316.2,46,D,6.9,2
