

latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,months
21.2228,82.4408,311.0,1.1,1.0,12/28/2014,745,Aqua,MODIS,56,6.2,301.0,5.5,D,0,12
21.2383,82.2914,317.6,1.8,1.3,12/2/2015,815,Aqua,MODIS,31,6.2,300.5,14.6,D,0,12
21.2384,82.4237,328.2,1.0,1.0,2/4/2018,757,Aqua,MODIS,76,6.2,307.4,16.8,D,0,2
21.2397,78.1468,341.0,1.1,1.0,3/4/2009,820,Aqua,MODIS,81,6.2,325.9,18.3,D,0,3
21.2456,82.4278,333.4,1.1,1.0,4/11/2017,507,Terra,MODIS,68,6.2,320.4,12.8,D,0,4
21.2486,81.8984,315.0,1.8,1.3,1/2/2016,732,Aqua,MODIS,62,6.2,299.5,16.1,D,0,1
21.2525,82.4174,324.1,1.2,1.1,3/12/2017,803,Aqua,MODIS,63,6.2,311.0,9.7,D,0,3
21.2642,82.4837,316.5,1.0,1.0,12/24/2010,751,Aqua,MODIS,63,6.2,300.8,8.8,D,0,12
21.272,82.3251,331.2,2.0,1.4,6/1/2017,538,Terra,MODIS,72,6.2,302.2,31.1,D,0,6
21.274,79.2831,309.8,1.0,1.0,4/1/2017,1703,Terra,MODIS,65,6.2,294.9,7.4,N,0,4
21.275,82.802,317.0,1.1,1.0,12/31/2010,757,Aqua,MODIS,66,6.2,302.1,7.6,D,0,12
21.2753,77.226,327.7,1.5,1.2,3/5/2009,551,Terra,MODIS,44,6.2,313.5,16.6,D,0,3
21.2759,82.8837,310.0,1.1,1.0,12/16/2015,520,Terra,MODIS,58,6.2,296.1,5.4,D,0,12
21.2781,79.3994,337.0,1.0,1.0,4/26/2010,805,Aqua,MODIS,31,6.2,321.1,9.8,D,0,4
21.2804,82.4826,309.5,1.6,1.2,12/24/2013,532,Terra,MODIS,52,6.2,298.2,8.2,D,0,12
21.2818,83.0353,314.5,2.5,1.5,1/9/2018,720,Aqua,MODIS,68,6.2,303.9,22.0,D,0,1
21.2821,82.4642,313.6,1.4,1.2,12/11/2015,809,Aqua,MODIS,53,6.2,293.7,8.3,D,0,12
21.2875,82.4136,327.7,1.0,1.0,3/21/2017,757,Aqua,MODIS,59,6.2,315.0,8.1,D,0,3
21.289,70.0679,336.4,1.3,1.1,3/2/2009,832,Aqua,MODIS,73,6.2,319.8,22.3,D,0,3
21.2921,75.7011,317.1,1.2,1.1,1/12/2016,809,Aqua,MODIS,47,6.2,305.2,7.2,D,0,1
21.294,83.4815,333.7,1.3,1.1,3/31/2018,803,Aqua,MODIS,72,6.2,319.4,16.5,D,0,3
21.2945,82.8053,325.5,1.1,1.0,12/26/2014,757,Aqua,MODIS,80,6.2,301.0,18.0,D,0,12
21.2952,82.0979,334.9,1.3,1.1,6/1/2009,502,Terra,MODIS,70,6.2,308.0,16.8,D,0,6
21.296,79.3963,341.9,1.0,1.0,4/26/2010,805,Aqua,MODIS,83,6.2,322.8,17.1,D,0,4
21.2973,82.3677,326.0,1.8,1.3,3/4/2009,820,Aqua,MODIS,35,6.2,314.2,16.0,D,0,3
21.2975,83.1731,319.3,1.0,1.0,12/31/2015,744,Aqua,MODIS,68,6.2,304.1,8.8,D,0,12
21.2983,74.9968,325.0,1.0,1.0,1/6/2009,825,Aqua,MODIS,73,6.2,306.8,12.1,D,0,1
21.2986,76.6315,334.8,1.1,1.0,3/17/2011,822,Aqua,MODIS,69,6.2,323.2,11.8,D,0,3
21.2987,82.4407,309.9,1.0,1.0,12/19/2014,751,Aqua,MODIS,47,6.2,299.5,5.4,D,0,12
21.3021,82.4488,326.3,2.0,1.4,4/30/2017,538,Terra,MODIS,68,6.2,306.6,23.5,D,0,4
21.3021,76.6026,328.0,3.4,1.7,3/20/2011,853,Aqua,MODIS,54,6.2,314.4,38.9,D,0,3
21.3036,82.3505,331.8,2.2,1.4,4/3/2017,726,Aqua,MODIS,69,6.2,309.8,41.1,D,0,4
21.3038,81.3494,317.2,1.1,1.0,12/27/2017,751,Aqua,MODIS,66,6.2,306.7,7.1,D,0,12
21.3038,81.9493,327.7,1.4,1.2,2/28/2017,738,Aqua,MODIS,70,6.2,315.2,19.1,D,0,2
21.3045,82.3549,330.5,1.1,1.0,3/27/2018,520,Terra,MODIS,47,6.2,314.8,11.7,D,0,3
21.3054,82.5258,324.7,1.9,1.3,3/13/2018,816,Aqua,MODIS,53,6.2,309.1,19.0,D,0,3
21.3055,83.1637,323.2,1.6,1.2,3/11/2014,809,Aqua,MODIS,58,6.2,306.9,14.7,D,0,3
21.3056,82.3779,328.3,1.0,1.0,5/25/2013,513,Terra,MODIS,25,6.2,303.2,9.4,D,0,5
21.3061,82.3724,343.5,3.1,1.7,3/27/2018,828,Aqua,MODIS,87,6.2,313.8,168.3,D,0,3
21.3066,82.3646,349.0,3.1,1.7,3/27/2018,828,Aqua,MODIS,80,6.2,314.5,222.2,D,0,3
21.3073,70.4062,326.7,1.4,1.2,3/20/2011,544,Terra,MODIS,59,6.2,311.3,12.9,D,0,3
21.3077,72.8326,328.7,1.1,1.1,1/1/2011,840,Aqua,MODIS,81,6.2,303.6,24.7,D,0,1
21.3078,82.3642,327.5,1.1,1.0,3/23/2010,507,Terra,MODIS,59,6.2,313.4,9.0,D,0,3
21.3093,82.4027,322.6,2.0,1.4,3/24/2018,449,Terra,MODIS,60,6.2,308.4,18.9,D,0,3
21.3104,76.6254,340.2,1.0,1.0,4/15/2010,823,Aqua,MODIS,55,6.2,324.7,10.5,D,0,4
21.3105,82.3761,304.2,1.2,1.1,3/3/2009,1658,Terra,MODIS,35,6.2,292.9,5.9,N,0,3
21.3134,82.365,339.2,1.7,1.3,3/22/2010,734,Aqua,MODIS,77,6.2,317.3,48.9,D,0,3
21.3136,80.0277,329.7,1.0,1.0,4/6/2010,519,Terra,MODIS,19,6.2,317.0,7.3,D,0,4
21.3156,77.2313,305.2,1.0,1.0,4/2/2012,2044,Aqua,MODIS,26,6.2,292.2,5.7,N,0,4
21.3198,82.8878,316.9,1.2,1.1,12/21/2014,739,Aqua,MODIS,70,6.2,300.9,12.5,D,0,12
21.3198,82.2621,325.4,2.9,1.6,3/14/2018,721,Aqua,MODIS,53,6.2,307.7,43.7,D,0,3
21.3206,82.3468,331.2,2.0,1.4,3/13/2017,538,Terra,MODIS,82,6.2,307.4,56.4,D,0,3
