

latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,months
22.4582,73.2206,335.1,1.2,1.1,4/4/2010,842,Aqua,MODIS,61,6.2,318.0,14.9,D,0,4
22.508000000000006,81.7625,357.8,1.0,1.0,3/30/2010,513,Terra,MODIS,98,6.2,314.2,62.3,D,0,3
22.5161,81.579,332.2,1.3,1.1,4/7/2017,531,Terra,MODIS,60,6.2,314.7,19.6,D,0,4
22.5177,88.2868,314.8,1.4,1.2,11/20/2012,744,Aqua,MODIS,57,6.2,297.0,10.1,D,0,11
22.5206,93.0376,311.7,1.0,1.0,3/14/2016,1608,Terra,MODIS,83,6.2,288.9,12.1,N,0,3
22.5209,88.2722,302.1,2.2,1.4,2/2/2012,1556,Terra,MODIS,47,6.2,285.8,19.0,N,0,2
22.5328,77.4548,306.3,1.0,1.0,4/13/2013,1710,Terra,MODIS,63,6.2,294.0,5.7,N,0,4
22.5505,88.0293,308.3,1.0,1.0,1/10/2019,732,Aqua,MODIS,51,6.3,297.8,4.3,D,0,1
22.5551,88.3811,307.1,1.0,1.0,7/16/2013,448,Terra,MODIS,21,6.2,280.2,3.0,D,0,7
22.5592,88.1793,314.9,1.2,1.1,9/19/2014,501,Terra,MODIS,38,6.2,293.7,7.2,D,0,9
22.5615,88.1786,316.3,1.2,1.1,9/30/2018,501,Terra,MODIS,64,6.2,304.1,8.6,D,0,9
22.5621,88.1806,317.4,1.0,1.0,9/10/2016,448,Terra,MODIS,28,6.2,297.8,6.4,D,0,9
22.5623,85.5763,324.3,1.0,1.0,3/13/2010,741,Aqua,MODIS,50,6.2,308.5,7.1,D,0,3
22.5623,77.3973,343.6,1.0,1.0,4/24/2010,817,Aqua,MODIS,85,6.2,328.0,11.7,D,0,4
22.5632,88.1773,319.2,1.1,1.1,9/24/2013,720,Aqua,MODIS,29,6.2,300.2,10.3,D,0,9
22.5635,92.7646,307.7,1.1,1.1,4/14/2013,1615,Terra,MODIS,72,6.2,296.1,7.2,N,0,4
22.564,78.9342,331.5,1.0,1.0,4/3/2018,526,Terra,MODIS,50,6.2,315.7,9.4,D,0,4
22.5641,88.1833,317.0,1.0,1.0,8/24/2013,454,Terra,MODIS,45,6.2,297.6,7.3,D,0,8
22.5641,88.1827,318.9,1.0,1.0,9/28/2014,455,Terra,MODIS,66,6.2,305.1,8.5,D,0,9
