






latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,months
31.0123,74.6927,324.9,1.4,1.2,10/25/2009,802,Aqua,MODIS,77,6.2,303.2,24.9,D,0,10
31.0125,75.229,314.9,1.0,1.0,11/10/2013,818,Aqua,MODIS,21,6.2,299.4,6.2,D,0,11
31.0131,75.3775,322.4,1.3,1.1,11/3/2018,759,Aqua,MODIS,75,6.2,297.1,22.0,D,0,11
31.0135,75.6532,318.0,1.2,1.1,11/8/2014,800,Aqua,MODIS,25,6.2,298.7,9.1,D,0,11
31.0137,75.0789,316.7,1.0,1.0,11/13/2014,818,Aqua,MODIS,61,6.2,302.1,7.6,D,0,11
31.0138,75.0728,333.0,1.1,1.1,5/18/2018,806,Aqua,MODIS,75,6.2,314.2,9.9,D,0,5
31.014,76.4766,330.4,1.9,1.4,5/30/2018,518,Terra,MODIS,79,6.2,305.4,39.5,D,0,5
31.015,75.1968,312.8,2.1,1.4,10/26/2009,845,Aqua,MODIS,59,6.2,301.6,13.9,D,0,10
31.0153,74.8099,317.6,1.1,1.0,11/1/2013,824,Aqua,MODIS,71,6.2,296.4,11.8,D,0,11
31.0162,74.9798,315.2,1.0,1.0,10/28/2014,818,Aqua,MODIS,70,6.2,296.5,7.8,D,0,10
31.0174,74.7477,326.6,1.4,1.2,10/28/2016,759,Aqua,MODIS,79,6.2,302.8,25.4,D,0,10
31.0176,75.0259,313.3,1.0,1.0,11/7/2012,817,Aqua,MODIS,57,6.2,301.1,5.3,D,0,11
31.0177,75.1413,333.4,1.0,1.0,5/10/2010,820,Aqua,MODIS,62,6.2,314.8,8.3,D,0,5
31.0186,76.2043,314.6,3.2,1.7,10/31/2014,849,Aqua,MODIS,66,6.2,298.7,37.1,D,0,10
31.0187,74.6891,322.4,1.2,1.1,11/2/2015,806,Aqua,MODIS,77,6.2,287.8,21.5,D,0,11
31.0193,75.3813,311.8,1.0,1.0,11/5/2017,818,Aqua,MODIS,60,6.2,298.8,5.2,D,0,11
31.0198,74.8409,333.1,1.0,1.0,5/17/2015,813,Aqua,MODIS,65,6.2,313.0,9.1,D,0,5
31.0218,75.6789,314.8,1.8,1.3,10/25/2014,748,Aqua,MODIS,62,6.2,301.5,15.2,D,0,10
31.0227,75.148,311.6,1.1,1.1,11/17/2013,825,Aqua,MODIS,59,6.2,301.2,4.8,D,0,11
31.0232,75.3865,328.4,1.4,1.2,10/29/2015,830,Aqua,MODIS,82,6.2,300.2,32.1,D,0,10
31.0243,76.123,322.9,1.0,1.0,10/16/2009,809,Aqua,MODIS,76,6.2,303.1,14.5,D,0,10
31.0245,74.8025,317.6,1.6,1.2,11/7/2010,837,Aqua,MODIS,69,6.2,301.1,14.4,D,0,11
