latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,months
9.5507,78.7302,323.2,1.8,1.3,2/20/2012,754,Aqua,MODIS,67,6.2,307.1,18.3,D,0,2
9.5535,77.5216,307.4,1.8,1.3,6/11/2012,2010,Aqua,MODIS,65,6.2,289.0,15.7,N,0,6
9.5557,77.5104,313.6,1.0,1.0,6/11/2012,1718,Terra,MODIS,62,6.2,290.5,10.6,N,0,6
9.558,77.4304,303.6,1.1,1.0,6/21/2009,1707,Terra,MODIS,35,6.2,289.0,6.9,N,0,6
9.5605,77.5096,305.6,1.1,1.0,3/20/2010,1706,Terra,MODIS,53,6.2,291.7,6.7,N,0,3
9.5611,77.4222,322.9,2.2,1.4,4/3/2016,754,Aqua,MODIS,55,6.2,299.3,44.1,D,0,4
9.5621,77.2527,328.7,1.0,1.0,3/19/2012,818,Aqua,MODIS,71,6.2,304.8,18.5,D,0,3
9.5628,77.1893,341.3,1.2,1.1,2/27/2017,830,Aqua,MODIS,78,6.2,277.0,48.7,D,0,2
9.563,77.2052,317.1,1.1,1.1,1/22/2013,535,Terra,MODIS,34,6.2,299.3,11.3,D,0,1
9.5634,77.5362,303.3,1.8,1.3,6/11/2012,2010,Aqua,MODIS,6,6.2,290.5,9.1,N,0,6
9.5642,77.1995,392.7,1.2,1.1,2/27/2017,830,Aqua,MODIS,94,6.2,288.4,258.4,D,0,2
9.5653,77.2001,329.4,1.5,1.2,1/22/2013,837,Aqua,MODIS,67,6.2,304.3,37.7,D,0,1
9.5656,77.21,323.5,1.2,1.1,2/27/2017,830,Aqua,MODIS,51,6.2,279.8,19.5,D,0,2
9.5672,78.8279,329.3,1.0,1.0,6/23/2012,818,Aqua,MODIS,34,6.2,305.3,10.6,D,0,6
9.5674,77.5295,317.5,1.0,1.0,9/22/2016,2034,Aqua,MODIS,73,6.2,292.3,13.0,N,0,9
9.5677,77.1924,384.9,1.2,1.1,2/27/2017,830,Aqua,MODIS,100,6.2,287.4,213.5,D,0,2
9.5678,77.4766,333.0,1.2,1.1,2/28/2009,536,Terra,MODIS,81,6.2,304.5,35.3,D,0,2
9.5685,77.202,316.2,1.1,1.1,1/22/2013,535,Terra,MODIS,58,6.2,299.6,12.5,D,0,1
9.5686,77.4931,326.5,1.2,1.1,4/13/2016,831,Aqua,MODIS,55,6.2,306.0,18.8,D,0,4
9.5687,77.4379,302.4,1.1,1.0,6/21/2009,1707,Terra,MODIS,15,6.2,290.5,5.4,N,0,6
9.5687,77.5377,310.7,1.0,1.0,6/11/2012,1718,Terra,MODIS,75,6.2,291.7,7.9,N,0,6
9.5691,77.2026,380.0,1.2,1.1,2/27/2017,830,Aqua,MODIS,100,6.2,287.1,187.4,D,0,2
9.5727,77.4579,306.4,1.9,1.4,3/23/2016,1737,Terra,MODIS,63,6.2,292.2,16.5,N,0,3
9.5728,77.2887,316.0,1.4,1.2,1/10/2013,510,Terra,MODIS,63,6.2,294.7,17.8,D,0,1
9.5742,77.4636,318.9,1.0,1.0,3/23/2016,2029,Aqua,MODIS,97,6.2,292.7,16.8,N,0,3
9.5743,77.4934,320.2,1.0,1.0,4/13/2016,529,Terra,MODIS,56,6.2,303.8,10.1,D,0,4
9.5748,77.4546,326.5,1.7,1.3,6/2/2012,800,Aqua,MODIS,63,6.2,295.4,37.9,D,0,6
9.575,77.5403,318.5,1.0,1.0,9/22/2016,2034,Aqua,MODIS,97,6.2,293.4,13.6,N,0,9
9.5758,77.1501,300.7,1.0,1.0,1/14/2013,1713,Terra,MODIS,31,6.2,289.1,5.0,N,0,1
9.5765,76.9463,316.9,1.2,1.1,2/6/2011,813,Aqua,MODIS,58,6.2,301.7,8.4,D,0,2
9.5768,76.9087,317.5,1.2,1.1,2/7/2009,517,Terra,MODIS,63,6.2,305.3,9.1,D,0,2
9.5773,76.9394,311.0,2.4,1.5,1/29/2016,849,Aqua,MODIS,31,6.2,293.5,17.9,D,0,1
9.5773,77.1909,328.5,1.2,1.1,2/27/2017,830,Aqua,MODIS,79,6.2,278.8,28.6,D,0,2
9.5774,77.4711,377.6,1.7,1.3,6/2/2012,800,Aqua,MODIS,100,6.2,298.3,298.5,D,0,6
9.5777,76.9319,322.2,2.4,1.5,2/20/2012,754,Aqua,MODIS,65,6.2,305.4,45.3,D,0,2
9.5784,76.9372,314.3,1.2,1.1,1/23/2015,517,Terra,MODIS,58,6.2,300.7,8.8,D,0,1
9.5787,77.20100000000002,337.2,1.2,1.1,2/27/2017,830,Aqua,MODIS,87,6.2,280.8,44.0,D,0,2
9.5788,77.1835,314.6,4.3,1.9,3/13/2015,902,Aqua,MODIS,45,6.2,294.5,54.6,D,0,3
9.5793,77.2414,315.3,1.8,1.3,4/15/2012,800,Aqua,MODIS,45,6.2,291.0,20.0,D,0,4
9.58,76.9262,313.8,1.2,1.1,1/23/2015,517,Terra,MODIS,58,6.2,300.4,8.0,D,0,1
9.5809,76.9436,316.6,1.9,1.3,1/23/2017,800,Aqua,MODIS,63,6.2,299.5,19.7,D,0,1
9.5819,76.939,318.3,2.3,1.5,1/11/2013,553,Terra,MODIS,72,6.2,299.1,38.8,D,0,1
9.5831,78.0178,324.6,1.6,1.2,3/14/2012,800,Aqua,MODIS,63,6.2,296.7,18.4,D,0,3
9.5832,77.2912,316.4,1.4,1.2,1/10/2013,510,Terra,MODIS,64,6.2,294.2,18.5,D,0,1
9.5834,77.275,305.0,1.4,1.2,3/25/2019,1731,Terra,MODIS,47,6.3,293.2,9.6,N,0,3
9.5836,77.5016,302.7,1.0,1.0,3/13/2014,1719,Terra,MODIS,41,6.2,290.1,5.6,N,0,3
9.5848,77.1565,334.7,1.0,1.0,3/19/2012,818,Aqua,MODIS,80,6.2,306.8,25.9,D,0,3
9.5849,77.4566,314.8,1.9,1.4,3/23/2016,1737,Terra,MODIS,89,6.2,292.7,32.1,N,0,3
9.585,76.9624,314.5,1.9,1.4,2/9/2009,505,Terra,MODIS,55,6.2,302.0,16.2,D,0,2
9.5874,77.2433,374.0,1.0,1.0,3/25/2014,819,Aqua,MODIS,100,6.2,314.3,118.0,D,0,3
9.5877,77.2236,322.3,1.0,1.0,3/5/2016,825,Aqua,MODIS,46,6.2,307.0,10.9,D,0,3
9.5879,76.9192,314.1,1.0,1.0,2/14/2012,529,Terra,MODIS,40,6.2,301.4,5.3,D,0,2
9.5884,77.2686,306.6,1.4,1.2,3/25/2019,1731,Terra,MODIS,66,6.3,293.8,10.9,N,0,3
9.5885,77.2683,330.5,1.0,1.0,3/2/2009,829,Aqua,MODIS,65,6.2,307.8,18.6,D,0,3
9.5888,77.4696,340.8,1.7,1.3,6/2/2012,800,Aqua,MODIS,87,6.2,293.2,81.1,D,0,6
9.5892,76.9103,312.7,1.0,1.0,2/14/2012,529,Terra,MODIS,38,6.2,301.5,4.3,D,0,2
9.5892,76.9407,319.7,2.4,1.5,2/3/2018,849,Aqua,MODIS,54,6.2,306.7,29.7,D,0,2
9.5907,77.7127,321.1,1.3,1.1,2/9/2009,810,Aqua,MODIS,63,6.2,305.4,9.6,D,0,2
9.5908,78.8534,324.6,2.3,1.5,3/25/2015,748,Aqua,MODIS,68,6.2,306.9,26.0,D,0,3
9.5916,76.9282,302.0,1.4,1.2,2/2/2018,1731,Terra,MODIS,33,6.2,291.6,6.5,N,0,2
9.5943,76.9309,317.4,1.1,1.0,3/19/2010,535,Terra,MODIS,65,6.2,279.1,16.9,D,0,3
9.5949,77.2282,326.8,1.0,1.0,3/21/2016,523,Terra,MODIS,51,6.2,310.3,13.1,D,0,3
9.5954,77.3891,334.7,1.1,1.0,4/1/2019,812,Aqua,MODIS,64,6.3,312.3,27.5,D,0,4
9.5957,77.5765,304.1,1.2,1.1,9/18/2012,2040,Aqua,MODIS,58,6.2,290.9,5.9,N,0,9
9.5959,77.3766,321.9,1.0,1.0,4/9/2011,522,Terra,MODIS,41,6.2,304.1,12.7,D,0,4
9.5963,77.258,328.1,1.0,1.0,3/2/2009,829,Aqua,MODIS,67,6.2,310.2,15.5,D,0,3
9.597,77.2782,325.9,1.9,1.4,3/7/2009,848,Aqua,MODIS,55,6.2,307.2,35.0,D,0,3
9.5972,77.2201,336.1,1.2,1.1,4/13/2010,832,Aqua,MODIS,74,6.2,307.2,28.7,D,0,4
9.5974,77.5651,304.4,1.2,1.1,9/18/2012,2040,Aqua,MODIS,60,6.2,290.2,6.2,N,0,9
9.5975,76.9512,313.3,1.7,1.3,2/3/2018,547,Terra,MODIS,50,6.2,301.3,15.1,D,0,2
9.5976,77.2673,326.9,1.0,1.0,3/2/2009,829,Aqua,MODIS,63,6.2,311.1,14.3,D,0,3
9.5981,76.9459,317.6,1.1,1.0,2/5/2018,535,Terra,MODIS,61,6.2,302.2,9.6,D,0,2
9.5983,76.9261,314.3,2.2,1.5,2/4/2010,553,Terra,MODIS,63,6.2,299.0,25.5,D,0,2
9.5985,77.2141,320.2,1.8,1.3,3/9/2016,800,Aqua,MODIS,52,6.2,300.9,23.5,D,0,3
9.5988,77.232,332.7,1.2,1.1,4/13/2010,832,Aqua,MODIS,58,6.2,306.2,21.9,D,0,4
9.5991,77.2806,317.8,1.0,1.0,3/29/2014,1719,Terra,MODIS,96,6.2,297.2,14.8,N,0,3
9.5992,77.278,313.7,1.0,1.0,4/3/2016,1719,Terra,MODIS,86,6.2,295.3,11.1,N,0,4
9.5994,77.4895,319.3,1.3,1.1,8/4/2009,809,Aqua,MODIS,33,6.2,298.2,13.4,D,0,8
9.5996,76.9361,320.4,1.1,1.0,2/5/2018,535,Terra,MODIS,67,6.2,301.7,12.8,D,0,2
9.6,77.2761,329.9,1.1,1.1,3/30/2014,535,Terra,MODIS,66,6.2,307.7,22.7,D,0,3
9.6003,77.2893,315.6,1.0,1.0,3/29/2014,1719,Terra,MODIS,75,6.2,293.9,13.0,N,0,3
9.6005,77.2645,322.3,1.1,1.1,3/4/2009,817,Aqua,MODIS,40,6.2,308.1,11.1,D,0,3
9.6009,77.3884,304.8,1.0,1.0,6/28/2009,1713,Terra,MODIS,49,6.2,290.6,5.5,N,0,6
9.6014,77.2666,327.0,1.1,1.1,3/30/2014,535,Terra,MODIS,58,6.2,309.9,17.5,D,0,3
9.6015,77.3853,327.3,1.4,1.2,3/26/2016,541,Terra,MODIS,70,6.2,306.5,31.6,D,0,3
9.6019,76.9257,304.9,1.4,1.2,2/2/2018,1731,Terra,MODIS,51,6.2,290.7,9.2,N,0,2
9.602,76.9292,315.9,1.1,1.1,1/4/2009,834,Aqua,MODIS,59,6.2,303.6,8.2,D,0,1
9.6021,77.2878,328.1,1.9,1.4,3/7/2009,848,Aqua,MODIS,45,6.2,306.1,39.2,D,0,3
9.6025,77.388,311.5,4.2,1.9,3/31/2019,606,Terra,MODIS,48,6.3,298.9,45.7,D,0,3
9.604,77.2291,338.9,1.0,1.0,3/21/2016,523,Terra,MODIS,86,6.2,310.9,27.7,D,0,3
9.6051,77.2729,341.9,1.1,1.1,3/30/2014,535,Terra,MODIS,88,6.2,310.6,40.8,D,0,3
9.6056,76.9113,315.7,1.0,1.0,1/17/2013,818,Aqua,MODIS,42,6.2,302.3,5.6,D,0,1
9.6057,77.3972,312.7,4.2,1.9,3/31/2019,606,Terra,MODIS,50,6.3,299.5,50.5,D,0,3
9.6058,76.956,314.6,1.1,1.0,3/3/2016,535,Terra,MODIS,28,6.2,302.0,6.8,D,0,3
9.6069,77.6757,314.5,1.5,1.2,1/18/2009,542,Terra,MODIS,53,6.2,296.3,8.5,D,0,1
9.6069,77.4712,303.1,1.0,1.0,10/5/2016,1713,Terra,MODIS,31,6.2,289.7,4.4,N,0,10
9.607,76.921,317.3,1.0,1.0,1/17/2013,818,Aqua,MODIS,55,6.2,302.8,7.4,D,0,1
9.6082,77.2795,328.1,1.0,1.0,3/29/2014,1719,Terra,MODIS,100,6.2,298.7,25.1,N,0,3
9.6082,77.4803,303.5,1.0,1.0,10/5/2016,1713,Terra,MODIS,41,6.2,289.3,4.6,N,0,10
9.6094,77.2884,316.5,1.0,1.0,3/29/2014,1719,Terra,MODIS,70,6.2,296.1,12.9,N,0,3
9.6096,77.50399999999998,303.3,1.4,1.2,8/5/2012,2016,Aqua,MODIS,34,6.2,289.3,6.9,N,0,8
9.6099,77.3871,307.7,1.0,1.0,6/28/2009,1713,Terra,MODIS,64,6.2,290.7,7.6,N,0,6
9.6103,77.6588,307.1,1.1,1.0,2/11/2009,1720,Terra,MODIS,70,6.2,293.6,7.4,N,0,2
9.6108,77.3899,304.0,2.3,1.5,4/9/2019,1648,Terra,MODIS,29,6.3,291.6,17.0,N,0,4
