

latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,months
21.9611,80.9785,321.8,1.1,1.0,3/12/2016,525,Terra,MODIS,58,6.2,308.4,8.0,D,0,3
21.9619,76.3218,332.2,1.6,1.2,3/27/2019,757,Aqua,MODIS,44,6.3,320.6,13.3,D,0,3
21.9625,92.8838,332.3,1.7,1.3,4/1/2014,650,Aqua,MODIS,82,6.2,299.9,52.0,D,0,4
21.9646,86.4443,338.8,1.0,1.0,4/23/2016,733,Aqua,MODIS,79,6.2,314.1,25.7,D,0,4
21.9647,82.4357,314.7,1.2,1.1,12/30/2013,803,Aqua,MODIS,64,6.2,301.5,8.0,D,0,12
21.9667,92.8698,351.8,1.1,1.1,4/18/2019,720,Aqua,MODIS,95,6.3,310.8,63.9,D,0,4
21.9674,81.0182,338.5,1.3,1.1,4/8/2017,745,Aqua,MODIS,77,6.2,317.4,26.1,D,0,4
21.9675,84.1829,333.6,1.0,1.0,5/13/2018,745,Aqua,MODIS,73,6.2,314.7,9.0,D,0,5
21.9756,77.1704,310.5,1.3,1.2,5/11/2018,1723,Terra,MODIS,42,6.2,293.9,9.6,N,0,5
21.9768,92.8849,303.5,3.5,1.8,3/18/2009,1904,Aqua,MODIS,6,6.2,290.9,30.8,N,0,3
21.9776,78.4835,335.9,1.3,1.1,4/8/2019,822,Aqua,MODIS,72,6.3,319.9,13.9,D,0,4
21.9783,80.2906,334.0,1.0,1.0,5/8/2019,526,Terra,MODIS,66,6.3,316.6,14.5,D,0,5
21.9801,83.9704,314.8,1.0,1.0,1/20/2015,751,Aqua,MODIS,65,6.2,303.0,6.2,D,0,1
21.9815,92.5789,326.0,1.7,1.3,3/29/2012,411,Terra,MODIS,70,6.2,305.6,26.5,D,0,3
21.9815,92.5841,403.2,1.0,1.0,3/26/2019,714,Aqua,MODIS,100,6.3,303.0,265.8,D,0,3
21.9823,73.399,311.0,1.9,1.3,12/23/2015,526,Terra,MODIS,55,6.2,296.1,19.1,D,0,12
21.9827,92.5757,327.3,1.7,1.3,4/10/2011,732,Aqua,MODIS,59,6.2,298.5,37.3,D,0,4
21.9828,78.6368,338.3,1.2,1.1,4/25/2018,758,Aqua,MODIS,77,6.2,325.9,14.2,D,0,4
21.9836,80.6475,326.3,1.3,1.1,3/1/2009,749,Aqua,MODIS,66,6.2,312.8,14.2,D,0,3
21.9843,87.3869,312.6,1.1,1.0,12/15/2017,726,Aqua,MODIS,64,6.2,300.9,6.4,D,0,12
21.9849,92.5907,319.0,1.1,1.0,4/9/2011,1614,Terra,MODIS,98,6.2,291.8,18.9,N,0,4
21.985,78.0938,332.0,1.0,1.0,4/1/2016,810,Aqua,MODIS,58,6.2,315.5,11.1,D,0,4
21.9859,77.1488,333.9,2.3,1.5,4/30/2019,745,Aqua,MODIS,60,6.3,320.2,34.0,D,0,4
21.9875,82.34700000000002,315.1,2.1,1.4,12/28/2016,726,Aqua,MODIS,69,6.2,299.9,24.4,D,0,12
21.9877,92.8895,306.2,3.5,1.8,3/18/2009,1904,Aqua,MODIS,53,6.2,291.3,41.1,N,0,3
21.9883,92.5934,325.0,2.2,1.4,4/17/2011,738,Aqua,MODIS,61,6.2,300.5,38.9,D,0,4
21.9896,92.8723,313.7,2.8,1.6,3/20/2009,642,Aqua,MODIS,41,6.2,299.6,31.4,D,0,3
21.9902,84.38,329.8,1.1,1.0,3/30/2017,751,Aqua,MODIS,51,6.2,316.3,8.4,D,0,3
21.9905,82.6976,315.3,1.2,1.1,1/15/2014,803,Aqua,MODIS,53,6.2,299.8,7.3,D,0,1
21.9907,92.5795,397.1,1.7,1.3,4/10/2017,732,Aqua,MODIS,100,6.2,301.7,484.2,D,0,4
21.9912,82.82799999999997,315.4,2.0,1.4,1/5/2017,815,Aqua,MODIS,66,6.2,302.1,18.4,D,0,1
21.9918,85.0737,327.6,1.0,1.0,4/9/2013,501,Terra,MODIS,55,6.2,312.0,8.6,D,0,4
21.9922,77.179,326.7,1.8,1.3,3/8/2009,756,Aqua,MODIS,10,6.2,310.9,19.0,D,0,3
21.9926,92.5933,314.8,1.3,1.1,4/10/2013,1924,Aqua,MODIS,80,6.2,293.9,17.6,N,0,4
21.993,78.5661,330.1,1.4,1.2,3/30/2017,751,Aqua,MODIS,31,6.2,317.2,9.8,D,0,3
21.9945,92.5939,317.1,2.2,1.4,4/29/2014,405,Terra,MODIS,17,6.2,296.4,15.7,D,0,4
21.9945,82.4756,323.2,1.2,1.1,6/25/2019,525,Terra,MODIS,54,6.3,301.9,14.7,D,0,6
21.9947,92.8791,338.3,1.1,1.1,3/18/2009,1615,Terra,MODIS,100,6.2,297.6,46.5,N,0,3
21.995,92.5786,321.0,2.2,1.4,4/29/2014,405,Terra,MODIS,60,6.2,297.1,27.8,D,0,4
21.9955,92.9775,316.8,1.0,1.0,3/14/2009,718,Aqua,MODIS,38,6.2,297.7,8.4,D,0,3
