0,1,2,3,4,5,6
0,300.3,310.6,40,D,13.1,3
1,301.7,314.4,60,D,10.3,2
2,301.2,319.6,71,D,9.2,2
3,302.3,334.1,86,D,29.2,2
4,301.0,322.3,69,D,11.8,9
5,294.2,321.3,57,D,7.8,10
6,303.7,324.8,73,D,9.9,4
7,302.0,323.5,66,D,9.2,3
8,302.5,327.5,81,D,14.5,3
9,304.7,331.0,84,D,12.1,5
10,305.0,323.0,68,D,18.4,2
11,297.4,319.1,71,D,12.1,11
12,311.9,339.2,68,D,20.4,3
13,298.1,325.9,79,D,23.5,10
14,283.3,309.2,65,N,8.9,2
15,302.2,325.8,79,D,12.4,3
18,309.3,325.8,75,D,18.1,3
20,294.4,309.2,65,N,9.9,12
21,296.8,312.5,79,N,8.8,3
23,295.4,306.2,67,N,14.6,3
27,293.7,311.8,76,N,12.0,12
28,308.5,331.5,79,D,8.4,9
34,283.6,310.1,14,D,14.4,8
35,301.4,324.9,78,D,16.2,1
40,310.6,330.0,83,D,9.5,8
41,310.2,330.3,78,D,7.9,5
49,303.4,331.6,72,D,15.9,9
53,300.2,315.5,58,D,5.1,1
54,285.4,314.9,54,D,9.1,5
